Date,Ticker,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-01-04,BHARTIARTL.NS,304.6249694824219,305.48114013671875,289.3035888671875,294.5308837890625,275.51348876953125,3498169,0.0,0.0
2016-01-05,BHARTIARTL.NS,294.71112060546875,296.288330078125,289.3035888671875,291.5116577148437,272.68914794921875,2351113,0.0,0.0
2016-01-06,BHARTIARTL.NS,293.7197570800781,299.66802978515625,288.0868835449219,290.3851013183594,271.6354064941406,2678635,0.0,0.0
2016-01-07,BHARTIARTL.NS,289.2134704589844,293.6296081542969,285.3380432128906,290.5202941894531,271.7618713378906,3135368,0.0,0.0
2016-01-08,BHARTIARTL.NS,292.2777404785156,292.8635559082031,287.0504455566406,291.8721618652344,273.0263977050781,1999282,0.0,0.0
2016-01-11,BHARTIARTL.NS,289.3035888671875,292.0073547363281,283.62567138671875,289.43878173828125,270.7501525878906,2795794,0.0,0.0
2016-01-12,BHARTIARTL.NS,290.204833984375,293.3141784667969,282.63427734375,284.25653076171875,265.9025573730469,3262399,0.0,0.0
2016-01-13,BHARTIARTL.NS,289.3035888671875,290.7005310058594,272.2247619628906,278.12799072265625,260.1697082519531,5044083,0.0,0.0
2016-01-14,BHARTIARTL.NS,276.5958557128906,281.1922607421875,270.82781982421875,278.26318359375,260.2961730957031,3633282,0.0,0.0
2016-01-15,BHARTIARTL.NS,280.921875,280.921875,273.17108154296875,275.8748474121094,258.0620422363281,3572695,0.0,0.0
2016-01-18,BHARTIARTL.NS,277.406982421875,278.2181091308594,264.8344421386719,270.6025085449219,253.13015747070312,4574694,0.0,0.0
2016-01-19,BHARTIARTL.NS,271.9994506835937,281.5527648925781,268.9351806640625,279.6601257324219,261.6028747558594,3707778,0.0,0.0
2016-01-20,BHARTIARTL.NS,278.0378723144531,282.8595886230469,272.90069580078125,279.0292358398437,261.0127868652344,5629713,0.0,0.0
2016-01-21,BHARTIARTL.NS,282.0935363769531,282.4540405273437,273.6667785644531,278.7588806152344,260.7598876953125,3422136,0.0,0.0
2016-01-22,BHARTIARTL.NS,280.3811340332031,280.47125244140625,262.7615661621094,269.2055358886719,251.8233795166016,5904068,0.0,0.0
2016-01-25,BHARTIARTL.NS,270.24200439453125,271.2333679199219,263.6628112792969,268.1240234375,250.8116912841797,3479687,0.0,0.0
