Date,Ticker,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-01-04,RELIANCE.NS,229.72608947753903,231.7376251220703,225.5430145263672,227.5088348388672,214.6729431152344,30170947,0.0,0.0
2016-01-05,RELIANCE.NS,228.65174865722656,230.86900329589844,227.89743041992188,229.7603759765625,216.79747009277344,14946239,0.0,0.0
2016-01-06,RELIANCE.NS,230.3204040527344,237.36077880859372,228.6746063232422,235.9435577392578,222.63180541992188,26759864,0.0,0.0
2016-01-07,RELIANCE.NS,233.3948516845703,234.98350524902344,230.42327880859372,231.6119079589844,218.54449462890625,19739943,0.0,0.0
2016-01-08,RELIANCE.NS,233.15484619140625,236.1035614013672,232.4005126953125,234.4691925048828,221.24058532714844,21313199,0.0,0.0
2016-01-11,RELIANCE.NS,232.2290802001953,242.4810333251953,231.09759521484372,240.3780670166016,226.8160858154297,29016443,0.0,0.0
2016-01-12,RELIANCE.NS,241.1552581787109,243.5325164794922,237.9779510498047,238.9722900390625,225.4896240234375,23373377,0.0,0.0
2016-01-13,RELIANCE.NS,240.720947265625,249.09852600097656,239.37229919433597,246.14979553222656,232.26220703125,71802356,0.0,0.0
2016-01-14,RELIANCE.NS,243.1782073974609,247.09841918945312,240.7095184326172,242.67532348632807,228.9837646484375,27823189,0.0,0.0
2016-01-15,RELIANCE.NS,244.52685546875,249.04136657714844,243.57823181152344,245.33831787109372,231.4965057373047,28767318,0.0,0.0
2016-01-18,RELIANCE.NS,245.72691345214844,247.77273559570312,230.4347076416016,232.43479919433597,219.32098388671875,27254669,0.0,0.0
2016-01-19,RELIANCE.NS,235.21209716796875,239.96661376953125,231.8061981201172,238.5494079589844,225.0905914306641,21489315,0.0,0.0
2016-01-20,RELIANCE.NS,236.56072998046875,236.56072998046875,226.2973480224609,229.62322998046875,216.66807556152344,45114225,0.0,0.0
2016-01-21,RELIANCE.NS,232.5948181152344,234.4691925048828,223.25718688964844,224.9715576171875,212.27880859375,31768619,0.0,0.0
2016-01-22,RELIANCE.NS,227.22311401367188,231.09759521484372,227.22311401367188,229.53179931640625,216.58177185058597,23682648,0.0,0.0
2016-01-25,RELIANCE.NS,230.86900329589844,232.86911010742188,228.5831756591797,229.486083984375,216.5386505126953,13099564,0.0,0.0
2016-01-27,RELIANCE.NS,230.4347076416016,230.86900329589844,227.8860015869141,228.43460083007807,215.5464630126953,17251028,0.0,0.0
2016-01-28,RELIANCE.NS,228.811767578125,233.56629943847656,227.9202880859375,232.44622802734372,219.331787109375,23074633,0.0,0.0
2016-01-29,RELIANCE.NS,232.91482543945312,237.72650146484372,232.6976776123047,236.67501831054688,223.32196044921875,19177163,0.0,0.0
2016-02-01,RELIANCE.NS,237.71507263183597,238.1379547119141,234.4234771728516,235.50924682617188,222.2219696044922,9918809,0.0,0.0
2016-02-02,RELIANCE.NS,235.50924682617188,236.0807037353516,226.41163635253903,228.84605407714844,215.9347076416016,14771279,0.0,0.0
2016-02-03,RELIANCE.NS,225.84017944335935,227.2116851806641,222.8686065673828,224.3315277099609,211.6748962402344,15691478,0.0,0.0
2016-02-04,RELIANCE.NS,225.84017944335935,228.811767578125,220.74278259277344,222.42286682128903,209.87388610839844,18203784,0.0,0.0
2016-02-05,RELIANCE.NS,223.8057861328125,224.4686737060547,219.75987243652344,221.9314117431641,209.41018676757807,20998404,0.0,0.0
2016-02-08,RELIANCE.NS,221.9771270751953,225.1087188720703,218.97125244140625,219.67987060546875,207.28567504882807,12078110,0.0,0.0
2016-02-09,RELIANCE.NS,217.81690979003903,221.45138549804688,217.15402221679688,218.86839294433597,206.5199737548828,19603494,0.0,0.0
2016-02-10,RELIANCE.NS,217.5426177978516,222.41143798828125,216.84542846679688,220.04559326171875,207.6307830810547,16883350,0.0,0.0
