Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2016-01-01,246.22190856933594,272.1875,0.0,272.5625,269.0375061035156,270.6000061035156,0.0,3195076
2016-01-04,242.0946807861328,267.625,0.0,271.0,267.0249938964844,271.0,0.0,5187536
2016-01-05,240.2628631591797,265.6000061035156,0.0,268.70001220703125,265.3374938964844,267.54998779296875,0.0,3160872
2016-01-06,241.3257598876953,266.7749938964844,0.0,269.1875,264.1625061035156,264.1625061035156,0.0,4165536
2016-01-07,238.8606719970703,264.04998779296875,0.0,266.2250061035156,262.42498779296875,265.0249938964844,0.0,6055428
2016-01-08,240.2515411376953,265.5874938964844,0.0,266.125,264.3125,265.48748779296875,0.0,3488356
2016-01-11,239.40350341796875,264.6499938964844,0.0,265.25,261.32501220703125,263.01251220703125,0.0,3288912
2016-01-12,236.76882934570312,261.73748779296875,0.0,265.9750061035156,260.875,265.9750061035156,0.0,4258736
2016-01-13,239.75405883789062,265.0375061035156,0.0,265.6875,259.25,263.0,0.0,4515148
2016-01-14,237.40206909179688,262.4375,0.0,264.3500061035156,259.875,262.5375061035156,0.0,6279184
2016-01-15,235.6833038330078,260.5375061035156,0.0,263.86248779296875,259.5249938964844,262.0,0.0,5417260
2016-01-18,231.99705505371094,256.4624938964844,0.0,260.36248779296875,255.25,258.9125061035156,0.0,6495388
2016-01-19,234.24725341796875,258.95001220703125,0.0,259.38751220703125,256.57501220703125,256.79998779296875,0.0,6405212
2016-01-20,230.28958129882812,254.5749969482422,0.0,277.0,251.97500610351562,256.25,0.0,9563588
2016-01-21,231.35252380371094,255.75,0.0,258.3125,253.35000610351562,255.25,0.0,6300804
2016-01-22,233.00341796875,257.57501220703125,0.0,261.0625,255.5124969482422,256.42498779296875,0.0,4236284
2016-01-25,235.45716857910156,260.2875061035156,0.0,261.67498779296875,258.26251220703125,259.98748779296875,0.0,10143884
2016-01-27,234.21334838867188,258.9125061035156,0.0,262.17498779296875,258.25,262.11248779296875,0.0,4039468
2016-01-28,233.3200225830078,257.92498779296875,0.0,261.7250061035156,257.5,259.75,0.0,9951972
2016-01-29,237.4246368408203,262.4624938964844,0.0,263.73748779296875,258.79998779296875,258.79998779296875,0.0,5360184
2016-02-01,239.66355895996094,264.9375,0.0,266.75,263.42498779296875,264.5,0.0,4609484
2016-02-02,238.31796264648438,263.45001220703125,0.0,266.3125,262.54998779296875,266.25,0.0,6528628
2016-02-03,236.0677490234375,260.9624938964844,0.0,262.8500061035156,260.5,261.125,0.0,4850244
2016-02-04,237.2776641845703,262.29998779296875,0.0,263.7250061035156,261.38751220703125,262.0,0.0,5675992
2016-02-05,238.6458740234375,263.8125,0.0,265.95001220703125,261.3999938964844,263.20001220703125,0.0,7523904
2016-02-08,234.25856018066406,258.9624938964844,0.0,264.5,257.57501220703125,263.75,0.0,3481924
2016-02-09,232.04229736328125,256.51251220703125,0.0,257.88751220703125,255.16250610351562,256.67498779296875,0.0,5535460
2016-02-10,229.07969665527344,253.2375030517578,0.0,257.5375061035156,252.52499389648438,255.97500610351562,0.0,7682280
2016-02-11,220.5651092529297,243.8249969482422,0.0,253.25,242.0500030517578,252.5,0.0,8803600
2016-02-12,219.68313598632812,242.85000610351562,0.0,246.6125030517578,241.5,244.75,0.0,12542144
2016-02-15,220.18060302734375,243.39999389648438,0.0,247.0625,242.77499389648438,245.0,0.0,10912960
2016-02-16,220.14671325683594,243.3625030517578,0.0,245.5,240.5,245.375,0.0,7136096
2016-02-17,220.4746856689453,243.72500610351562,0.0,244.97500610351562,239.75,244.22500610351562,0.0,7503924
2016-02-18,223.76515197753906,247.3625030517578,0.0,247.8125,244.25,246.5,0.0,6799856
2016-02-19,223.731201171875,247.3249969482422,0.0,248.14999389648438,243.375,247.1875,0.0,3328660
2016-02-22,223.60684204101562,247.1875,0.0,249.0,245.75,245.75,0.0,4002396
2016-02-23,219.3778076171875,242.5124969482422,0.0,246.375,241.5,246.22500610351562,0.0,6078320
2016-02-24,214.75302124023438,237.39999389648438,0.0,240.72500610351562,236.60000610351562,240.0,0.0,6463468
2016-02-25,213.18125915527344,235.66250610351562,0.0,239.3125,234.5500030517578,238.5,0.0,8463196
2016-02-26,217.33116149902344,240.25,0.0,242.75,236.25,237.5,0.0,6209388
2016-02-29,219.78488159179688,242.96249389648438,0.0,245.64999389648438,232.0,240.27499389648438,0.0,8812752
2016-03-01,222.56655883789062,246.03750610351562,0.0,246.6875,242.96249389648438,243.7375030517578,0.0,4322560
2016-03-02,227.77932739257812,251.8000030517578,0.0,252.72500610351562,248.75,249.5,0.0,6358976
2016-03-03,229.73553466796875,253.96249389648438,0.0,255.0,252.5,252.6875,0.0,4610400
2016-03-04,230.79843139648438,255.1374969482422,0.0,256.2250061035156,248.27499389648438,253.8625030517578,0.0,5704624
2016-03-08,229.35107421875,253.53750610351562,0.0,256.0,252.375,256.0,0.0,1913688
2016-03-09,231.7595977783203,256.20001220703125,0.0,257.4750061035156,251.6875,253.25,0.0,6528172
2016-03-10,230.9567413330078,255.3125,0.0,256.4375,252.52499389648438,256.20001220703125,0.0,2671392
2016-03-11,232.64157104492188,257.17498779296875,0.0,257.70001220703125,253.25,254.97500610351562,0.0,4730856
2016-03-14,232.38150024414062,256.88751220703125,0.0,259.48748779296875,256.3125,257.0,0.0,3008656
2016-03-15,232.18923950195312,256.67498779296875,0.0,258.3500061035156,255.41250610351562,256.9750061035156,0.0,7690036
2016-03-16,233.03732299804688,257.61248779296875,0.0,258.5625,254.7375030517578,256.75,0.0,4803548
2016-03-17,230.3122100830078,254.60000610351562,0.0,259.75,252.78750610351562,258.73748779296875,0.0,5113484
2016-03-18,232.57371520996094,257.1000061035156,0.0,258.0,253.83749389648438,255.7375030517578,0.0,4135068
2016-03-21,236.46351623535156,261.3999938964844,0.0,261.8374938964844,258.0625,258.25,0.0,5318796
2016-03-22,238.32923889160156,263.4624938964844,0.0,264.1499938964844,260.17498779296875,261.625,0.0,4120264
2016-03-23,237.3115692138672,262.3374938964844,0.0,263.26251220703125,260.13751220703125,263.26251220703125,0.0,8464300
2016-03-28,236.89321899414062,261.875,0.0,263.25,260.4125061035156,261.25,0.0,11270868
2016-03-29,238.31796264648438,263.45001220703125,0.0,264.875,261.0625,261.875,0.0,6733952
2016-03-30,240.83953857421875,266.23748779296875,0.0,267.4750061035156,263.4750061035156,264.5,0.0,7814380
2016-03-31,242.24169921875,267.7875061035156,0.0,269.7250061035156,266.26251220703125,266.7124938964844,0.0,20080392
2016-04-01,240.72647094726562,266.11248779296875,0.0,269.1000061035156,264.20001220703125,267.20001220703125,0.0,5158648
2016-04-04,241.7667236328125,267.26251220703125,0.0,268.20001220703125,266.0,266.29998779296875,0.0,6179960
2016-04-05,239.14344787597656,264.36248779296875,0.0,269.2250061035156,263.9125061035156,267.25,0.0,6663028
2016-04-06,240.05934143066406,265.375,0.0,266.73748779296875,264.1875,265.25,0.0,4295376
2016-04-07,238.70242309570312,263.875,0.0,266.1875,261.76251220703125,266.0,0.0,3911692
2016-04-08,239.57310485839844,264.8374938964844,0.0,265.8374938964844,263.5625,263.75,0.0,2962796
2016-04-11,242.1964569091797,267.73748779296875,0.0,268.5249938964844,260.7124938964844,265.07501220703125,0.0,4049620
2016-04-12,240.39852905273438,265.75,0.0,267.75,264.8125,267.3999938964844,0.0,4941480
2016-04-13,244.638916015625,270.4375,0.0,271.23748779296875,267.375,268.0,0.0,4974604
2016-04-18,246.00709533691406,271.95001220703125,0.0,273.0,267.8999938964844,270.875,0.0,4117068
