Ticker,Date,Open,High,Low,Close,Adj_Close,Volume,NIFTY50_Row_Present
ASIANPAINT.NS,2025-03-18,2219.550048828125,2219.550048828125,2219.550048828125,2219.550048828125,2176.945068359375,0.0,True
ASIANPAINT.NS,2026-01-15,2813.89990234375,2813.89990234375,2813.89990234375,2813.89990234375,2789.696533203125,0.0,False
ASIANPAINT.NS,2026-05-01,2444.5,2444.5,2444.5,2444.5,2423.473876953125,0.0,False
ASIANPAINT.NS,2026-05-28,2671.89990234375,2671.89990234375,2671.89990234375,2671.89990234375,2648.91796875,0.0,False
ASIANPAINT.NS,2026-06-26,2645.199951171875,2645.199951171875,2645.199951171875,2645.199951171875,2645.199951171875,0.0,False
AXISBANK.NS,2025-03-18,1034.1500244140625,1034.1500244140625,1034.1500244140625,1034.1500244140625,1032.470703125,0.0,True
AXISBANK.NS,2026-01-15,1298.800048828125,1298.800048828125,1298.800048828125,1298.800048828125,1297.7991943359375,0.0,False
AXISBANK.NS,2026-05-01,1268.300048828125,1268.300048828125,1268.300048828125,1268.300048828125,1267.3226318359375,0.0,False
AXISBANK.NS,2026-05-28,1304.0999755859375,1304.0999755859375,1304.0999755859375,1304.0999755859375,1303.094970703125,0.0,False
AXISBANK.NS,2026-06-26,1377.199951171875,1377.199951171875,1377.199951171875,1377.199951171875,1376.138671875,0.0,False
BAJFINANCE.NS,2025-03-18,858.0349731445312,858.0349731445312,858.0349731445312,858.0349731445312,847.5628051757812,0.0,True
BAJFINANCE.NS,2026-01-15,945.9500122070312,945.9500122070312,945.9500122070312,945.9500122070312,940.1705932617188,0.0,False
BAJFINANCE.NS,2026-05-01,937.0,937.0,937.0,937.0,931.2752685546876,0.0,False
BAJFINANCE.NS,2026-05-28,931.1500244140624,931.1500244140624,931.1500244140624,931.1500244140624,925.4609985351562,0.0,False
BAJFINANCE.NS,2026-06-26,980.4000244140624,980.4000244140624,980.4000244140624,980.4000244140624,974.4100952148438,0.0,False
BHARTIARTL.NS,2025-03-18,1639.1500244140625,1639.1500244140625,1639.1500244140625,1639.1500244140625,1605.356689453125,0.0,True
BHARTIARTL.NS,2026-01-15,2022.5,2022.5,2022.5,2022.5,1997.3626708984373,0.0,False
BHARTIARTL.NS,2026-05-01,1886.800048828125,1886.800048828125,1886.800048828125,1886.800048828125,1863.349365234375,0.0,False
BHARTIARTL.NS,2026-05-28,1852.199951171875,1852.199951171875,1852.199951171875,1852.199951171875,1829.1793212890625,0.0,False
BHARTIARTL.NS,2026-06-26,1850.699951171875,1850.699951171875,1850.699951171875,1850.699951171875,1827.6978759765625,0.0,False
HDFCBANK.NS,2025-03-18,855.2000122070312,855.2000122070312,855.2000122070312,855.2000122070312,830.065673828125,0.0,True
HDFCBANK.NS,2026-01-15,925.4500122070312,925.4500122070312,925.4500122070312,925.4500122070312,910.3926391601562,0.0,False
HDFCBANK.NS,2026-05-01,771.7000122070312,771.7000122070312,771.7000122070312,771.7000122070312,759.1441650390625,0.0,False
HDFCBANK.NS,2026-05-28,758.6500244140625,758.6500244140625,758.6500244140625,758.6500244140625,746.3065185546875,0.0,False
HDFCBANK.NS,2026-06-26,796.2999877929688,796.2999877929688,796.2999877929688,796.2999877929688,796.2999877929688,0.0,False
HINDUNILVR.NS,2025-03-18,2171.25,2171.25,2171.25,2171.25,2110.42919921875,0.0,True
HINDUNILVR.NS,2026-01-15,2353.5,2353.5,2353.5,2353.5,2329.80224609375,0.0,False
HINDUNILVR.NS,2026-05-01,2250.89990234375,2250.89990234375,2250.89990234375,2250.89990234375,2228.2353515625,0.0,False
HINDUNILVR.NS,2026-05-28,2198.39990234375,2198.39990234375,2198.39990234375,2198.39990234375,2176.263916015625,0.0,False
HINDUNILVR.NS,2026-06-26,2174.199951171875,2174.199951171875,2174.199951171875,2174.199951171875,2174.199951171875,0.0,False
ICICIBANK.NS,2025-03-18,1269.0,1269.0,1269.0,1269.0,1248.7557373046875,0.0,True
ICICIBANK.NS,2026-01-15,1418.4000244140625,1418.4000244140625,1418.4000244140625,1418.4000244140625,1406.5421142578125,0.0,False
ICICIBANK.NS,2026-05-01,1263.4000244140625,1263.4000244140625,1263.4000244140625,1263.4000244140625,1252.8380126953125,0.0,False
ICICIBANK.NS,2026-05-28,1272.699951171875,1272.699951171875,1272.699951171875,1272.699951171875,1262.0601806640625,0.0,False
ICICIBANK.NS,2026-06-26,1387.5,1387.5,1387.5,1387.5,1375.9005126953125,0.0,False
