UID,Title,Authors,Year,Venue,DOI,Abstract,Keywords,Document_Type,Scopus,ScienceDirect,Elicit,Query_Hits,Master_ID,Document_Class,Stock_Domain,Eligible_Target,AI_ML_DL,Empirical_Evaluation,Strong_Stock_Target_Context,Adjacent_Target_Context,NonStock_Domain_Context,Direct_Core_Evidence,Strategic_Theme_Count,Relevance_Score,Working_Relevance_Tier,Research_Use,Elicit_Priority,Gap_Dimensions_Evidenced,Stock_Evidence,Target_Evidence,AI_Evidence,Empirical_Evidence,Stock_Target_Sentence_Evidence,Adjacent_Evidence,NonStock_Evidence,Historical_Data,Technical_Indicators,Fundamental_Data,Financial_News,Social_Media,Sentiment,FinBERT_BERT_RoBERTa,LLM_FinGPT,Multimodal,Fusion,Transformer_Attention,LSTM_GRU,Optimization,Metaheuristic,XAI,Temporal_Validation,Indian_Market,Multi_Stock,Historical_Data_Evidence,Technical_Indicators_Evidence,Fundamental_Data_Evidence,Financial_News_Evidence,Social_Media_Evidence,Sentiment_Evidence,FinBERT_BERT_RoBERTa_Evidence,LLM_FinGPT_Evidence,Multimodal_Evidence,Fusion_Evidence,Transformer_Attention_Evidence,LSTM_GRU_Evidence,Optimization_Evidence,Metaheuristic_Evidence,XAI_Evidence,Temporal_Validation_Evidence,Indian_Market_Evidence,Multi_Stock_Evidence
doi:10.1016/j.asoc.2024.112393,Predicting the highest and lowest stock price indices: A combined BiLSTM-SAM-TCN deep learning model based on re-decomposition,Gong H.; Xing H.,2024,Applied Soft Computing,10.1016/j.asoc.2024.112393,"Accurate prediction of stock price indices is crucial for market participants to obtain valuable information and mitigate risks. For more accurate forecasting of stock price indices, this study proposes a deep learning combined prediction model based on re-decomposition, utilizing the daily highest price series and the daily lowest price series of the Standard & Poor's 500 Index (S&P 500) and the Shanghai Stock Exchange Composite Index (SSEC) as experimental data. This model involves several key steps. Initially, an improved complete ensemble empirical mode decomposition with adaptive noise (ICEEMDAN) is used to decompose the stock's highest price sequence or lowest price sequence into multiple subsequences. Next, the highest frequency subsequence is re-decomposed using variational mode decomposition (VMD) optimized by particle swarm optimization (PSO). Then, bidirectional long short-term memory (BiLSTM), self-attention mechanism (SAM) and temporal convolutional network (TCN) are combined to construct BiLSTM-SAM-TCN for predicting each subsequence independently. Finally, the predicted values of the subsequences are linearly integrated to get the prediction results of the highest price sequence or the lowest price sequence of the stock. The empirical analyses demonstrate that the proposed ICEEMDAN-PSO-VMD-BiLSTM-SAM-TCN model exhibits excellent forecasting performance in both developed and developing country stock markets, surpassing other models. The modified Diebold-Mariano (MDM) test also statistically confirms the superiority of the proposed model. Furthermore, the model is also verified to have good robustness and generalization ability by changing the time scale of the original stock price series and then forecasting it, as well as forecasting the stock price under extreme market conditions. Overall, this study presents a reliable method for accurately predicting the highest and lowest stock price indices with the potential for practical application in diverse stock markets. © 2024 Elsevier B.V.",BiLSTM-SAM-TCN; ICEEMDAN; Modified Diebold-Mariano test; PSO-optimized VMD; Stock price index forecasting; Commerce; Costs; Electronic trading; Financial markets; Variational mode decomposition; Adaptive noise; Attention mechanisms; Bidirectional long short-term memory-self-attention mechanism-temporal convolutional network; Convolutional networks; Diebold; Empirical Mode Decomposition; Improved complete ensemble empirical mode decomposition with adaptive noise; Mode decomposition; Modified diebold-mariano test; Particle swarm; Particle swarm optimization-optimized variational mode decomposition; Price index; Short term memory; Stock price; Stock price index forecasting; Swarm optimization; Prediction models,Article,Yes,Yes,No,SC01; SC04; SD01; SD04; SD05,M-0466,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,3,21,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Transformer_Attention; Optimization; Metaheuristic,s&p 500; shanghai stock; stock markets; stock price,stock price,attention; convolutional; deep learning; tcn,experimental,"Predicting the highest and lowest stock price indices: A combined BiLSTM-SAM-TCN deep learning model based on re-decomposition || Accurate prediction of stock price indices is crucial for market participants to obtain valuable information and mitigate risks. || For more accurate forecasting of stock price indices, this study proposes a deep learning combined prediction model based on re-decomposition, utilizing the daily highest price series and the daily lowest price series of the Standard & Poor's 500 Index (S&P 500) and the Shanghai Stock Exchange Composite Index (SSEC) as experimental data. || The empirical analyses demonstrate that the proposed ICEEMDAN-PSO-VMD-BiLSTM-SAM-TCN model exhibits excellent forecasting performance in both developed and developing country stock markets, surpassing other models. || Furthermore, the model is also verified to have good robustness and generalization ability by changing the time scale of the original stock price series and then forecasting it, as well as forecasting the stock price under extreme market conditions. || Overall, this study presents a reliable method for accurately predicting the highest and lowest stock price indices with the potential for practical application in diverse stock markets. © 2024 Elsevier B.V.",,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,,,,,,,,,,,attention mechanism; self-attention,bilstm; long short-term memory,optimized,particle swarm; pso,,,,
doi:10.14569/ijacsa.2024.0150174,Presenting an Optimized Hybrid Model for Stock Price Prediction,Liu L.,2024,International Journal of Advanced Computer Science and Applications,10.14569/ijacsa.2024.0150174,"In the finance sector, stock price forecasting is deemed crucial for traders and investors. In this study, a detailed comparison and analysis of various machine learning models for stock price forecasting were undertaken. Historical stock data and an array of technical indicators were utilized in these models. The enhancement of the Histogram-Based Gradient Boosting (HGBR) method for predicting the Nasdaq stock index was the focus. Optimization techniques such as genetic algorithm optimization, biologically-based optimization, and the grasshopper optimization algorithm were applied. Among these, the most promising results were shown by the grasshopper optimization method. The optimized HGBR models, namely GA-HGBR, BBO-HGBR, and GOA-HGBR, were found to have achieved significant improvements, with coefficient of determination values of 0.96, 0.98, and 0.99, respectively. These figures underscore the substantial advancement of these models as compared to the baseline HGBR model. Metrics such as Mean Absolute Error, Root Mean Square Error, Mean Absolute Percentage Error, and the Coefficient of Determination were employed to assess the performance of the models. © (2024), (Science and Information Organization). All Rights Reserved.",ensemble learning; grasshopper optimization; histogram-based gradient boosting; machine learning approaches; Stock prediction; Adaptive boosting; Commerce; Electronic trading; Errors; Financial markets; Forecasting; Genetic algorithms; Investments; Machine learning; Mean square error; Coefficient of determination; Ensemble learning; Gradient boosting; Grasshopper optimization; Histogram-based gradient boosting; Hybrid model; Machine learning approaches; Optimisations; Stock predictions; Stock price forecasting; Graphic methods,Article,Yes,No,No,SC01,M-2051,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,3,21,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Medium,Technical_Indicators; Optimization; Metaheuristic,nasdaq; stock index; stock prediction; stock price,price forecasting; price prediction; stock price,ensemble learning; gradient boosting; hybrid model; machine learning,comparison,"Presenting an Optimized Hybrid Model for Stock Price Prediction || In the finance sector, stock price forecasting is deemed crucial for traders and investors. || In this study, a detailed comparison and analysis of various machine learning models for stock price forecasting were undertaken.",,,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,,technical indicators,,,,,,,,,,,optimized,genetic algorithm,,,,
doi:10.11591/ijai.v13.i2.pp2049-2059,Stock market prediction employing ensemble methods: the Nifty50 index,Manjunath C.; Marimuthu B.; Ghosh B.,2024,IAES International Journal of Artificial Intelligence,10.11591/ijai.v13.i2.pp2049-2059,"Accurately forecasting stock fluctuations can yield high investment returns while minimizing risk. However, market volatility makes these projections unlikely. As a result, stock market data analysis is significant for research. Analysts and researchers have developed various stock price prediction systems to help investors make informed judgments. Extensive studies show that machine learning can anticipate markets by examining stock data. This article proposed and evaluated different ensemble learning techniques such as max voting, bagging, boosting, and stacking to forecast the Nifty50 index efficiently. In addition, an embedded feature selection is performed to choose an optimal set of fundamental indicators as input to the model, and extensive hyperparameter tuning is applied using grid search to each base regressor to enhance performance. Our findings suggest the bagging and stacking ensemble models with random forest (RF) feature selection offer lower error rates. The bagging and stacking regressor model 2 outperformed all other models with the lowest root mean square error (RMSE) of 0.0084 and 0.0085, respectively, showing a better fit of ensemble regressors. Finally, the findings show that machine learning algorithms can help fundamental analyses make stock investment decisions. © 2024, Institute of Advanced Engineering and Science. All rights reserved.",Bagging; Boosting; Fundamental analysis; Machine learning; National stock exchange fifty; Stacking; Stock market forecasting,Article,Yes,No,No,SC01,M-1917,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,3,21,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Fundamental_Data; Optimization; Indian_Market,national stock exchange; stock market; stock price,price prediction; stock price,ensemble learning; machine learning; random forest,evaluated; rmse,Stock market prediction employing ensemble methods: the Nifty50 index || Analysts and researchers have developed various stock price prediction systems to help investors make informed judgments.,,,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,market data,,fundamental analysis; fundamental indicators,,,,,,,,,,grid search; hyperparameter tuning,,,,national stock exchange,
doi:10.1007/s10614-025-11085-x,A Hybrid Novel Approach for Stock Portfolio Construction,Jaiswal R.; Srivastava N.; Jha M.,2026,Computational Economics,10.1007/s10614-025-11085-x,"The effectiveness of portfolio construction is primarily dependent on the anticipated success of stock markets. The emergence of recent developments in machine learning has brought up significant opportunities for incorporating prediction theory into the practise of portfolio selection. However, numerous studies have demonstrated that it is not possible to get both very accurate predictions and substantial financial benefits by relying on a single prediction model. This work offers a new method for building a stock portfolio by combining the Firefly Algorithm (FA) enhanced AdaBoost model for forecasting stock returns with the Mean-Value-at-Risk (Mean-VaR) model for portfolio optimization. A new model predicts future stock returns using an AdaBoost regressor and hyperparameters adjusted via the Firefly Algorithm. It accomplishes this by examining historical data from NIFTY50 equities on the National Stock Exchange (NSE) of India spanning 2017 to 2023. Experiments reveal that the FA-AdaBoost model significantly reduces prediction error, reaching a 14.6% MSE drop relative to baseline AdaBoost and more closely matching projected returns with actual values. Expected returns guide the selection of a portfolio of 25 shares. Cardinality constraints to the Mean-VaR model help to optimize the portfolio. Although having lower downside risk, the most recently optimized portfolio outperforms conventional Mean-Variance portfolios in return with a 12.3% increase in the Sharpe Ratio. By means of swarm intelligence and ensemble learning, this approach demonstrates how essential it is to use risk-aware optimization to improve decisions in actual financial markets. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.",Adaptive boosting; Firefly algorithm; MV model; Portfolio optimization; Value at risk,Article,Yes,No,No,SC01,M-0190,Primary/Other,Yes,Return,Yes,Yes,Yes,Yes,,Yes,3,20,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Optimization; Metaheuristic; Indian_Market,national stock exchange; stock markets; stock returns,stock returns,ensemble learning; machine learning,experiments; mse; outperforms,This work offers a new method for building a stock portfolio by combining the Firefly Algorithm (FA) enhanced AdaBoost model for forecasting stock returns with the Mean-Value-at-Risk (Mean-VaR) model for portfolio optimization. || A new model predicts future stock returns using an AdaBoost regressor and hyperparameters adjusted via the Firefly Algorithm.,value at risk; portfolio optimization; portfolio selection,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,,,,,,,,,,,,,optimized; swarm intelligence,firefly,,,india; national stock exchange; nse,
doi:10.1109/access.2026.3719338,A Robust Framework for Stock Price Prediction via BorutaSHAP-Based Feature Selection and Ensemble Deep Learning,Dosdogru A.T.,2026,IEEE Access,10.1109/access.2026.3719338,"Stock price prediction remains challenging due to market noise, non-stationarity, and complex temporal dependencies. This study proposes a robust hybrid framework to enhance predictive performance, stability, and interpretability in financial time series forecasting. The framework integrates BorutaSHAP-based feature selection with variance inflation factor (VIF) filtering to construct a relevant and non-redundant feature set. To better capture temporal dynamics, time-series decomposition is combined with Moving Block Bootstrap (MBB) resampling, preserving local dependencies while increasing data diversity. The predictive stage employs a bagging-based ensemble of deep learning models, including LSTM, GRU, Conv-LSTM, and RNN architectures, with XGBoost as a benchmark. Hyperparameters are optimized using Bayesian Optimization (BO). In addition to predictive accuracy, the framework incorporates SHAP-based analysis to investigate the impact of hyperparameters on model performance and behavior. The proposed approach is evaluated on financial time series from the S&P 500 index. Experimental results demonstrate improved robustness and generalization under noisy market conditions, with deep learning-based ensembles achieving a competitive balance between accuracy and stability. Overall, the findings indicate that integrating feature selection, resampling, and ensemble deep learning can enhance the reliability of stock price prediction.  © 2013 IEEE.",Deep learning; ensemble learning; explainability; feature extraction; forecasting; stock markets; Commerce; Costs; Electronic trading; Feature Selection; Financial markets; Long short-term memory; Prediction models; Time series; Deep learning; Ensemble learning; Explainability; Features extraction; Features selection; Hybrid framework; Hyper-parameter; Non-stationarities; Predictive performance; Stock price prediction; Forecasting,Article,Yes,No,No,SC01; SC04; SC05,M-1735,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,2,20,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Optimization; XAI,s&p 500; stock markets; stock price,price prediction; stock price,deep learning; ensemble learning; gru; lstm; rnn; xgboost,accuracy; benchmark; evaluated; experimental; results demonstrate,"A Robust Framework for Stock Price Prediction via BorutaSHAP-Based Feature Selection and Ensemble Deep Learning || Stock price prediction remains challenging due to market noise, non-stationarity, and complex temporal dependencies. || Overall, the findings indicate that integrating feature selection, resampling, and ensemble deep learning can enhance the reliability of stock price prediction. © 2013 IEEE.",,,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Unclear,time series,,,,,,,,,,,gru; long short-term memory; lstm; rnn,bayesian optimization; optimized,,explainability; interpretability; shap,,,
title:combining deep learning and statistical models lstm arima ensemble for financial forecasting,Combining Deep Learning and Statistical Models: LSTM-ARIMA Ensemble for Financial Forecasting,Jadhav P.V.; Krishnan S.B.; Dey R.; Chakrabarti P.,2026,IAENG International Journal of Computer Science,,"The decision making in different areas like economic planning, risk management and investment, it is essential to have accuracy of financial forecasting. To capture linear trends in conventional time series statistical model like Auto Regressive Integrated Moving Average (ARIMA) are very efficient but it deals with complex non linear market dynamics they fall short. On the other hand, Long Short-Term Memory (LSTM) networks, one of the deep learning models excels at recognizing long term relationships and nonlinear dependencies in the financial data but they require huge datasets and heavy computational resources. The aim of this paper is to recommend an innovative ensemble forecasting technique which integrates LSTM and ARIMA models to get benefit of from their individual strengths while compensating for their specific boundaries. The training of these both models is done independently by ensemble architecture and their outputs s recombined using optimized weighted averaging. For validation of this proposed model involvement of historical financial datasets including commodity prices, exchange rates and stock prices. Root Mean Squared Error (RMSE), Mean Absolute Error (MAE) and Mean Absolute Percentage Error (MAPE) are the standard metrics by using which the performance is evaluated which shows that LSTM-ARIMA ensemble significantly outclasses standalone LSTM and ARIMA models. lowest Root Mean Squared Error of 0.85, Mean Absolute Error of 0.65 and Mean Absolute Percentage Error of 2.32 is achieved by the ensemble and indicating greater prediction accuracy and robustness across various financial time series. A comprehensive solution which can be adapted by different financial forecasting scenarios, ensuring improved precision and reliability is offered by this hybrid approach. The key findings of this paper support the increasing consensus that combination of deep learning and statistical techniques improves the quality of the predictive analytics in the finance and this method can be extended to various fields similar to the time series characteristics. © 2026, International Association of Engineers. All rights reserved.",ARIMA; Ensemble Model; Financial Forecasting; LSTM; Time-Series Analysis; Autoregressive moving average model; Costs; Electronic trading; Financial markets; Investments; Learning systems; Mean square error; Prediction models; Predictive analytics; Risk management; Auto regressive integrated moving average models; Autoregressive integrated moving average(ARIMA); Ensemble models; Financial forecasting; Learning models; Mean absolute error; Root mean squared errors; Short term memory; Statistic modeling; Time-series analysis; Long short-term memory; Time series analysis,Article,Yes,No,No,SC01,M-2769,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,2,20,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Technical_Indicators; Optimization,stock prices,stock prices,deep learning; lstm,accuracy; datasets; evaluated; mae; mape; precision; rmse; training,"For validation of this proposed model involvement of historical financial datasets including commodity prices, exchange rates and stock prices.",,,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,time series,moving average,,,,,,,,,,long short-term memory; lstm,optimized,,,,,
doi:10.69793/ijmcs/03.2026/nagarajnaik,"Intraday Stock Price Prediction Using Candlestick Representation and Optimized Technical Indicators with Artificial Neural Networks, Support Vector Machine, and Random Forest",Bagalkot S.S.; Kulkarni A.P.; Vikranth B.M.; Naik N.,2026,International Journal of Mathematics and Computer Science,10.69793/ijmcs/03.2026/nagarajnaik,"Predicting stock and its price index for an Intraday is not a trivial task due to various conflicting factors involved in the field of finance and the stock market. Accurate prediction of buy and sell signal of a given stock price for an Intraday creates the profitable returns to both the traders and the investors. In this study, the predicting task is carried out in three steps: First, converting stock continuous data into discrete data using the candlestick data representation. Secondly, an effective subset of the technical indicators feature is selected based on state-of-the-art feature selection techniques to remove redundant technical indicators signal. Thirdly, an advance prediction using three efficient models; namely, Artificial Neural Networks (ANN), Support Vector Machine (SVM), and Random Forest (RF). The proposed model has evaluated on National Stock Exchange India (NSE) dataset. The experimental results demonstrate the effective elimination of irrelevant technical indicators. Moreover, the experimental results show that the proposed ANN model outperforms by 3-4% in predicting buy and sell signal for a given stock. © (2026), (Badih/Ghusayni, Ed. & Pub.). All Rights Reserved.",Financial Technology; Machine Learning; Stock Market Prediction,Article,Yes,No,No,SC01,M-2725,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,3,20,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Technical_Indicators; Optimization; Indian_Market,national stock exchange; stock market; stock price,price prediction; stock price,artificial neural networks; machine learning; neural networks; random forest; support vector; svm,dataset; evaluated; experimental; outperforms; results demonstrate; results show,"Intraday Stock Price Prediction Using Candlestick Representation and Optimized Technical Indicators with Artificial Neural Networks, Support Vector Machine, and Random Forest || Accurate prediction of buy and sell signal of a given stock price for an Intraday creates the profitable returns to both the traders and the investors.",buy and sell,,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,,technical indicators,,,,,,,,,,,optimized,,,,india; national stock exchange; nse,
doi:10.1007/s43069-026-00693-4,Metamodeling Using Diverse Window Sizes for Performance Optimization in Stock Price Prediction,Baek H.; Lee E.-B.,2026,Operations Research Forum,10.1007/s43069-026-00693-4,"Rising volatility in global equity markets has intensified efforts to develop more accurate models for forecasting market dynamics. Existing studies have primarily focused on proposing enhanced algorithms based on data from a single time point or applying algorithms optimized for specific predictive indicators. However, such approaches have inherent limitations, as they do not sufficiently account for the reality that diverse events influence stock prices with varying temporal lags. To address this gap, the present study proposes a metamodel grounded in a CNN–LSTM hybrid architecture, which selects individual models that achieve optimal performance across different window sizes and integrates them into a unified framework. The model incorporates not only closing prices but also a broad range of technical indicators and macroeconomic variables. Principal component analysis (PCA) is employed to mitigate potential issues arising from high-dimensional feature spaces. Furthermore, the multisliding window method is utilized to capture historical price fluctuation patterns across multiple time horizons, forming the basis for predictive models of major stock indices, including the S&P500, KOSPI, Nikkei, FTSE, and HSI. Empirical results demonstrate that the proposed metamodel consistently outperforms single-window models in terms of average prediction error. The inclusion of technical indicators contributed to performance improvements in certain markets, while the effectiveness of dimensionality reduction varied across countries. These findings suggest that a metamodel leveraging multiple time windows can effectively accommodate the volatility of stock prices across heterogeneous temporal horizons. In conclusion, this study advances the field by mitigating information loss in time series forecasting and integrating event-based time lag effects into an advanced predictive architecture. The proposed framework offers meaningful implications for practitioners and policymakers, particularly in developing adaptive strategies for investment, risk management, and policy design. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2026.",Diverse window sizes; Metamodel; Multisliding window; Stock price prediction,Article,Yes,No,No,SC01,M-0368,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,2,20,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Technical_Indicators; Optimization,equity markets; ftse; kospi; nikkei; s&p500; stock indices; stock price; stock prices,closing prices; price prediction; stock price; stock prices,cnn; lstm,outperforms; results demonstrate,"Metamodeling Using Diverse Window Sizes for Performance Optimization in Stock Price Prediction || Rising volatility in global equity markets has intensified efforts to develop more accurate models for forecasting market dynamics. || However, such approaches have inherent limitations, as they do not sufficiently account for the reality that diverse events influence stock prices with varying temporal lags. || These findings suggest that a metamodel leveraging multiple time windows can effectively accommodate the volatility of stock prices across heterogeneous temporal horizons.",,,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,historical price; time series,technical indicators,,,,,,,,,,lstm,optimized,,,,,
doi:10.1007/s00521-025-11834-x,Optimized deep learning-based investor sentiment analysis for renewable energy stock price prediction using environmental news and social media data,Al-khaykan A.; Al-Kharsan I.H.; Alhilo A.C.; Fakhruldeen H.F.; Al-Nuwaini R.B.,2026,Neural Computing and Applications,10.1007/s00521-025-11834-x,"Accurate prediction of renewable energy stock prices is crucial for investors and policymakers. To achieve this, a Deep Learning (DL) model called the Long Short-Term Memory (LSTM) network has been employed to predict renewable energy stock prices based on Investors’ Sentiment (IS) from environmental television newscasts. However, it may not capture the full spectrum of IS due to a lack of social media data, and inappropriate hyperparameter configurations can lead to significant errors in predictions. Hence, this manuscript introduces a new optimized DL model for predicting renewable energy stock prices based on the ISs from both environmental television newscast data and social media texts. The main aim of this model is to integrate data from multiple sources and reduce the prediction error. First, a dataset is created by collecting environmental television newscast data, social media texts related to renewable energy stocks, and stock prices of top-k companies. Thereafter, Natural Language Processing (NLP) is applied to extract IS scores. These scores, along with the stock price data, are passed to the Self-Adapted and Attention-based Bidirectional Gated Recurrent Unit (SA2BiGRU) network, with hyperparameters optimized by an Improved Secretary Bird Optimization (ISBO) algorithm to predict renewable energy stocks. Finally, the experimental results show that the SA2BiGRU model outperforms existing models, reducing prediction errors and enhancing the reliability of forecasts for renewable energy stock prices using additional data sources. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2026.",Attention strategy; Bidirectional GRU; Deep learning; Investor’s sentiment; Renewable energy; Secretary bird optimization; Stock price prediction; Birds; Costs; Electronic trading; Financial markets; Forecasting; Investments; Learning systems; Sentiment analysis; Social networking (online); Attention strategy; Bidirectional GRU; Deep learning; Investor's sentiments; Investor’s sentiment; Optimisations; Renewable energies; Secretary bird optimization; Stock price; Stock price prediction; Deep learning,Article,Yes,No,No,SC01,M-0090,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,2,20,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Sentiment; Optimization,stock price; stock prices,price prediction; stock price; stock prices,attention; deep learning; gru; lstm,dataset; experimental; outperforms; results show,"Optimized deep learning-based investor sentiment analysis for renewable energy stock price prediction using environmental news and social media data || Accurate prediction of renewable energy stock prices is crucial for investors and policymakers. || To achieve this, a Deep Learning (DL) model called the Long Short-Term Memory (LSTM) network has been employed to predict renewable energy stock prices based on Investors’ Sentiment (IS) from environmental television newscasts. || Hence, this manuscript introduces a new optimized DL model for predicting renewable energy stock prices based on the ISs from both environmental television newscast data and social media texts. || First, a dataset is created by collecting environmental television newscast data, social media texts related to renewable energy stocks, and stock prices of top-k companies. || These scores, along with the stock price data, are passed to the Self-Adapted and Attention-based Bidirectional Gated Recurrent Unit (SA2BiGRU) network, with hyperparameters optimized by an Improved Secretary Bird Optimization (ISBO) algorithm to predict renewable energy stocks. || Finally, the experimental results show that the SA2BiGRU model outperforms existing models, reducing prediction errors and enhancing the reliability of forecasts for renewable energy stock prices using additional data sources. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2026.",investor sentiment; sentiment analysis,,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,,,,,social media,sentiment,,,,,,gru; long short-term memory; lstm,optimized,,,,,
doi:10.1007/s00500-026-11311-0,PSO meets LSTM: adaptive forecasting of NYSE stock prices with volatility-aware performance,Nader B.J.; Lichaa El Khoury E.; Azar D.,2026,Soft Computing,10.1007/s00500-026-11311-0,"The stock market plays a pivotal role in the global financial system, often marked by significant volatility and its profound impact on investors. Due to this, accurately predicting closing prices is essential for making well-informed investment choices. However, accurate stock price prediction remains a challenging task due to the inherent volatility and complexity of financial markets. In this work, we propose a novel forecasting framework that integrates Particle Swarm Optimization (PSO) with a Long Short-Term Memory (LSTM) network to enhance multi-day stock price prediction on the New York Stock Exchange (NYSE). Unlike prior studies that employ static model architectures or generic optimization strategies, our approach dynamically searches for both the optimal hyperparameters, the architectural configuration—such as the number of layers, nodes per layer- and the sequence length tailored to each individual stock. By leveraging PSO’s gradient-free, population-based search capabilities, our method enables efficient exploration of a large and high-dimensional space, achieving faster convergence and improved accuracy compared to traditional hyperparameter tuned LSTM models. Extensive experiments conducted on historical data from nine major companies and the S&P 500 index demonstrate that the proposed PSO-LSTM model outperforms a LSTM hyper-tuned using Grid Search, Optuna or Hyperband in terms of predictive accuracy as well as computational efficiency. The model's ability to forecast prices up to five days in advance, while adapting to the unique characteristics of each stock, represents a significant advancement in time series forecasting for financial applications. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2026.",Long short-term memory; Neural networks; Particle swarm optimization; Stock market; Commerce; Computational efficiency; Costs; Electronic trading; Forecasting; Investments; Long short-term memory; Adaptive forecasting; Hyper-parameter; Memory modeling; Neural-networks; New York Stock Exchange; Particle swarm; Particle swarm optimization; Short term memory; Stock price prediction; Swarm optimization; Financial markets; Particle swarm optimization (PSO),Article,Yes,No,No,SC01; SC04,M-0073,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,2,20,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Optimization; Metaheuristic,s&p 500; stock market; stock price; stock prices,closing prices; price prediction; stock price; stock prices,lstm; neural networks,accuracy; experiments; outperforms,"PSO meets LSTM: adaptive forecasting of NYSE stock prices with volatility-aware performance || However, accurate stock price prediction remains a challenging task due to the inherent volatility and complexity of financial markets. || In this work, we propose a novel forecasting framework that integrates Particle Swarm Optimization (PSO) with a Long Short-Term Memory (LSTM) network to enhance multi-day stock price prediction on the New York Stock Exchange (NYSE).",,,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,time series,,,,,,,,,,,long short-term memory; lstm,grid search; optuna,particle swarm; pso,,,,
